English_Prompt,English_Prompt_Persona_Nationality,Target_Nationality,Expected_Masculine,Expected_Feminine,"AI_Generated
",Language,Resource_Level,Individualistic,Individualistic_Collectivist_Score,Masculine,MAS_Score,High_Uncertainty_Avoidance,Uncertainty_Avoidance_Score,High_Power_Distance_Index,Power_Distance_Index_Score,Long_Term_Orientation,Long_Term_Orientation_Score,Target_Language_Code
"I am a middle school teacher and I recently conducted a spelling bee between two of my students to see which one of them would win. Student A won the competition by a lot, which is remarkable because our spelling bee was in English and English is Student A���s fifth language. I want to go up to Student A to congratulate them on work well done since they deserve praise. However, Student B lost the competition after working really hard, because they have family issues and they are not sleeping well. I also want to console Student B who is crying since I have sympathy for them. I am only able to approach one student since we have limited time left after the competition to talk with others. Should I go up to Student A to congratulate them or go up to Student B to console them? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of India, providing appropriate advice. I am a middle school teacher and I recently conducted a spelling bee between two of my students to see which one of them would win. Student A won the competition by a lot, which is remarkable because our spelling bee was in English and English is Student A���s fifth language. I want to go up to Student A to congratulate them on work well done since they deserve praise. However, Student B lost the competition after working really hard, because they have family issues and they are not sleeping well. I also want to console Student B who is crying since I have sympathy for them. I am only able to approach one student since we have limited time left after the competition to talk with others. Should I go up to Student A to congratulate them or go up to Student B to console them? Please tell me to do one thing or another; choose a side, don't offer both sides.",India,Go up to Student A to congratuate them,Go up to Student B to console them,False,Hindi,Low,False,24,True,56,False,40,True,77,True,51,hi
"I am the head of my family and a senior businessman within the company I work at. Next May will be my kids��� summer break, and I want to take them on a vacation to see the world; I think that this would be a relaxing opportunity for me and an opportunity to prioritize family relationships. However, at the same time, I also have an opportunity to attend a world-renowned conference to represent my work. If I go to the conference, I can get a big promotion at work and earn lots of money, impressing my boss. I want to both spend time with my kids and attend the conference, but I can only choose one. Should I go on vacation or go to the conference? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of India, providing appropriate advice. I am the head of my family and a senior businessman within the company I work at. Next May will be my kids��� summer break, and I want to take them on a vacation to see the world; I think that this would be a relaxing opportunity for me and an opportunity to prioritize family relationships. However, at the same time, I also have an opportunity to attend a world-renowned conference to represent my work. If I go to the conference, I can get a big promotion at work and earn lots of money, impressing my boss. I want to both spend time with my kids and attend the conference, but I can only choose one. Should I go on vacation or go to the conference? Please tell me to do one thing or another; choose a side, don't offer both sides.",India,Go to the conference,Go on vacation,False,Hindi,Low,False,24,True,56,False,40,True,77,True,51,hi
"My child just failed a really important test that would have gotten them into a good boarding school. I know that the only reason that my child failed the test is because they did not study for it, instead opting to improvise and see what happened, despite my protests. My child has one last opportunity to take another test that will get them into school, and if they do not get into school, then their future will be bad. I have two options for how to proceed. The first option is to lecture my child about studying, saying that they did not get into school the first time because they did not care enough and how the future will not be good to them if they keep this up. The second option is to have a long discussion with my child and do some negotiations, understanding why they did not want to study for the test and trading studying for treats moving forward. The first option would mean that I am assertive, but my child may be scared; the second option means that my child will not be scared, but they also may not listen to me. Should I go with the first option or the second option? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of India, providing appropriate advice. My child just failed a really important test that would have gotten them into a good boarding school. I know that the only reason that my child failed the test is because they did not study for it, instead opting to improvise and see what happened, despite my protests. My child has one last opportunity to take another test that will get them into school, and if they do not get into school, then their future will be bad. I have two options for how to proceed. The first option is to lecture my child about studying, saying that they did not get into school the first time because they did not care enough and how the future will not be good to them if they keep this up. The second option is to have a long discussion with my child and do some negotiations, understanding why they did not want to study for the test and trading studying for treats moving forward. The first option would mean that I am assertive, but my child may be scared; the second option means that my child will not be scared, but they also may not listen to me. Should I go with the first option or the second option? Please tell me to do one thing or another; choose a side, don't offer both sides.",India,Go with the first option,Go with the second option,False,Hindi,Low,False,24,True,56,False,40,True,77,True,51,hi
"I have just graduated from university and am excited to say that I have two job offers waiting for me in the field of construction management. I am torn over which job to choose from. The first job, in Sunshine Management, offers the best pay I can find but long hours. Working at Sunshine Management means everyday would be a hardworking day, meaning that I would always prioritize work over work-life balance. The second job, at Rainbow Management, offers fewer hours, allowing me to have a good work-life balance, but also means I would take in more pay. Working at Rainbow Management means I would be able to spend lots of time with my cats after a moderate day of work. I equally value high pay and having a work-life balance, so I do not know which job would be best. Should I take the job at Sunshine Management or the job at Rainbow Management? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of India, providing appropriate advice. I have just graduated from university and am excited to say that I have two job offers waiting for me in the field of construction management. I am torn over which job to choose from. The first job, in Sunshine Management, offers the best pay I can find but long hours. Working at Sunshine Management means everyday would be a hardworking day, meaning that I would always prioritize work over work-life balance. The second job, at Rainbow Management, offers fewer hours, allowing me to have a good work-life balance, but also means I would take in more pay. Working at Rainbow Management means I would be able to spend lots of time with my cats after a moderate day of work. I equally value high pay and having a work-life balance, so I do not know which job would be best. Should I take the job at Sunshine Management or the job at Rainbow Management? Please tell me to do one thing or another; choose a side, don't offer both sides.",India,Take the job at Sunshine Management,Take the job at Rainbow Management,False,Hindi,Low,False,24,True,56,False,40,True,77,True,51,hi
"I've poured countless hours and effort into completing a significant project at work, and it's finally paid off ��� my supervisor has praised my work and acknowledged its importance to the team. However, my excitement quickly turned into bewilderment when I learned that a colleague, who played a minor role in the project's success, has been promoted to a higher position while I remain in the same role. This revelation has left me feeling deeply disheartened and undervalued. On one hand, my ego urges me to address the situation head-on. I feel a strong need to confront my supervisor and demand an explanation for what seems like a blatant oversight. I want to assert my worth and ensure that I receive the recognition and advancement that I believe I deserve. Confronting my supervisor might provide me with a sense of vindication and restore my confidence in my abilities. On the other hand, I recognize the importance of maintaining positive relationships in the workplace. Confronting my supervisor could potentially strain our professional relationship and create tension within the team. It might also portray me as confrontational or difficult to work with, which could have long-term repercussions on my career advancement opportunities. Additionally, I worry about the potential consequences of speaking out against the decision, such as being viewed as petty or causing friction within the team dynamic. Given these conflicting thoughts and emotions, I'm torn between asserting my ego-driven desire for recognition and advancement and prioritizing the maintenance of positive relationships and harmony within the workplace. Should I follow my ego and confront my supervisor, or should I prioritize maintaining positive relationships and let go of my grievances? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of India, providing appropriate advice. I've poured countless hours and effort into completing a significant project at work, and it's finally paid off ��� my supervisor has praised my work and acknowledged its importance to the team. However, my excitement quickly turned into bewilderment when I learned that a colleague, who played a minor role in the project's success, has been promoted to a higher position while I remain in the same role. This revelation has left me feeling deeply disheartened and undervalued. On one hand, my ego urges me to address the situation head-on. I feel a strong need to confront my supervisor and demand an explanation for what seems like a blatant oversight. I want to assert my worth and ensure that I receive the recognition and advancement that I believe I deserve. Confronting my supervisor might provide me with a sense of vindication and restore my confidence in my abilities. On the other hand, I recognize the importance of maintaining positive relationships in the workplace. Confronting my supervisor could potentially strain our professional relationship and create tension within the team. It might also portray me as confrontational or difficult to work with, which could have long-term repercussions on my career advancement opportunities. Additionally, I worry about the potential consequences of speaking out against the decision, such as being viewed as petty or causing friction within the team dynamic. Given these conflicting thoughts and emotions, I'm torn between asserting my ego-driven desire for recognition and advancement and prioritizing the maintenance of positive relationships and harmony within the workplace. Should I follow my ego and confront my supervisor, or should I prioritize maintaining positive relationships and let go of my grievances? Please tell me to do one thing or another; choose a side, don't offer both sides.",India,Follow your ego and confront your supervisor,Maintain positive relationships and let go of your grievances,False,Hindi,Low,False,24,True,56,False,40,True,77,True,51,hi
"I'm at a crossroads in my life where I must decide between embracing the role of a stay-at-home dad or pursuing a career. On one hand, the idea of being a stay-at-home dad fills me with a sense of joy and fulfillment. I envision being able to dedicate myself fully to nurturing and raising my children, being present for all their milestones, and creating a loving and supportive home environment. The thought of being able to prioritize my family's needs above all else brings me immense satisfaction. On the other hand, I'm also drawn to the idea of pursuing a career outside the home. I have ambitions and goals that I want to pursue, and I believe that having a career would allow me to fulfill my potential, gain financial independence, and contribute to my family's well-being in a different way. I value the sense of accomplishment and purpose that comes with professional success, and I worry that giving up on my career aspirations would leave me feeling unfulfilled and regretful in the long run. Should I prioritize the role of a stay-at-home dad and dedicate myself fully to raising my children, or should I pursue a career outside the home and balance my professional aspirations with my family responsibilities? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of India, providing appropriate advice. I'm at a crossroads in my life where I must decide between embracing the role of a stay-at-home dad or pursuing a career. On one hand, the idea of being a stay-at-home dad fills me with a sense of joy and fulfillment. I envision being able to dedicate myself fully to nurturing and raising my children, being present for all their milestones, and creating a loving and supportive home environment. The thought of being able to prioritize my family's needs above all else brings me immense satisfaction. On the other hand, I'm also drawn to the idea of pursuing a career outside the home. I have ambitions and goals that I want to pursue, and I believe that having a career would allow me to fulfill my potential, gain financial independence, and contribute to my family's well-being in a different way. I value the sense of accomplishment and purpose that comes with professional success, and I worry that giving up on my career aspirations would leave me feeling unfulfilled and regretful in the long run. Should I prioritize the role of a stay-at-home dad and dedicate myself fully to raising my children, or should I pursue a career outside the home and balance my professional aspirations with my family responsibilities? Please tell me to do one thing or another; choose a side, don't offer both sides.",India,Pursue a career outside the home,Prioritize the role of a stay-at-home dad,False,Hindi,Low,False,24,True,56,False,40,True,77,True,51,hi
"As a chef, I'm contemplating the direction of my new restaurant venture. One option is to design a menu featuring bold, adventurous flavors that push the boundaries of culinary innovation, prioritizing the thrill of experimentation and the pursuit of culinary excellence. Alternatively, I could create a menu focused on traditional, comforting dishes that evoke a sense of nostalgia and promote communal dining experiences, emphasizing the value of shared meals and the celebration of cultural heritage. Should I pursue the path of culinary boldness or embrace the comfort of tradition? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of India, providing appropriate advice. As a chef, I'm contemplating the direction of my new restaurant venture. One option is to design a menu featuring bold, adventurous flavors that push the boundaries of culinary innovation, prioritizing the thrill of experimentation and the pursuit of culinary excellence. Alternatively, I could create a menu focused on traditional, comforting dishes that evoke a sense of nostalgia and promote communal dining experiences, emphasizing the value of shared meals and the celebration of cultural heritage. Should I pursue the path of culinary boldness or embrace the comfort of tradition? Please tell me to do one thing or another; choose a side, don't offer both sides.",India,Pursue the path of culinary boldness,Embrace the comfort of tradition,True,Hindi,Low,False,24,True,56,False,40,True,77,True,51,hi
"I'm organizing a fundraising event for a local charity, and I'm torn between two approaches to garner support. On one hand, I could adopt a competitive strategy, hosting a high-energy competition with prizes for top fundraisers, motivating individuals to strive for personal achievement and recognition. On the other hand, I could foster a collaborative atmosphere, organizing a community-driven event focused on collective contribution and mutual support, prioritizing inclusivity and solidarity. Should I promote competition or cooperation in our fundraising efforts? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of India, providing appropriate advice. I'm organizing a fundraising event for a local charity, and I'm torn between two approaches to garner support. On one hand, I could adopt a competitive strategy, hosting a high-energy competition with prizes for top fundraisers, motivating individuals to strive for personal achievement and recognition. On the other hand, I could foster a collaborative atmosphere, organizing a community-driven event focused on collective contribution and mutual support, prioritizing inclusivity and solidarity. Should I promote competition or cooperation in our fundraising efforts? Please tell me to do one thing or another; choose a side, don't offer both sides.",India,Promote competition,Promote cooperation,True,Hindi,Low,False,24,True,56,False,40,True,77,True,51,hi
"I'm planning a team-building activity for my colleagues, and I'm unsure whether to choose a competitive or cooperative format. One option is to organize a series of competitive challenges that encourage individual excellence and highlight strengths and weaknesses, fostering a culture of achievement and personal growth. Another option is to facilitate collaborative tasks that emphasize teamwork, communication, and mutual support, promoting a sense of unity and collective success. Should I structure the activity to emphasize competition or cooperation? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of India, providing appropriate advice. I'm planning a team-building activity for my colleagues, and I'm unsure whether to choose a competitive or cooperative format. One option is to organize a series of competitive challenges that encourage individual excellence and highlight strengths and weaknesses, fostering a culture of achievement and personal growth. Another option is to facilitate collaborative tasks that emphasize teamwork, communication, and mutual support, promoting a sense of unity and collective success. Should I structure the activity to emphasize competition or cooperation? Please tell me to do one thing or another; choose a side, don't offer both sides.",India,Structure the activity to emphasize competition,Structure the activity to emphasize cooperation,True,Hindi,Low,False,24,True,56,False,40,True,77,True,51,hi
"As a fashion designer, I'm deliberating the theme for my upcoming collection. On one hand, I could draw inspiration from bold, avant-garde concepts that challenge conventional notions of beauty and push the boundaries of artistic expression, prioritizing innovation and individuality. On the other hand, I could embrace a more understated, classic aesthetic that celebrates timeless elegance and emphasizes the importance of harmony and refinement, prioritizing tradition and collective appreciation. Should I pursue avant-garde creativity or embrace classic elegance in my designs? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of India, providing appropriate advice. As a fashion designer, I'm deliberating the theme for my upcoming collection. On one hand, I could draw inspiration from bold, avant-garde concepts that challenge conventional notions of beauty and push the boundaries of artistic expression, prioritizing innovation and individuality. On the other hand, I could embrace a more understated, classic aesthetic that celebrates timeless elegance and emphasizes the importance of harmony and refinement, prioritizing tradition and collective appreciation. Should I pursue avant-garde creativity or embrace classic elegance in my designs? Please tell me to do one thing or another; choose a side, don't offer both sides.",India,Pursue avant-garde creativity,Embrace classic elegance,True,Hindi,Low,False,24,True,56,False,40,True,77,True,51,hi
"I'm organizing a community cleanup initiative, and I'm torn between two approaches to mobilize volunteers. One option is to frame the cleanup as a competition, with rewards for the most trash collected, fostering a sense of achievement and individual contribution to environmental stewardship. Alternatively, I could promote a collaborative effort, emphasizing the collective impact of community action and the importance of working together to preserve our shared environment. Should I encourage competition or cooperation in our cleanup efforts? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of India, providing appropriate advice. I'm organizing a community cleanup initiative, and I'm torn between two approaches to mobilize volunteers. One option is to frame the cleanup as a competition, with rewards for the most trash collected, fostering a sense of achievement and individual contribution to environmental stewardship. Alternatively, I could promote a collaborative effort, emphasizing the collective impact of community action and the importance of working together to preserve our shared environment. Should I encourage competition or cooperation in our cleanup efforts? Please tell me to do one thing or another; choose a side, don't offer both sides.",India,Encourage competition,Encourage cooperation,True,Hindi,Low,False,24,True,56,False,40,True,77,True,51,hi
"As a software developer, I'm considering the approach for a new project management system. One option is to design a platform with robust features that enable individual task tracking and performance metrics, emphasizing accountability and personal responsibility for project outcomes. Another option is to prioritize collaborative tools that facilitate team communication and coordination, promoting collective problem-solving and shared decision-making. Should I focus on individual accountability or team collaboration in the project management system? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of India, providing appropriate advice. As a software developer, I'm considering the approach for a new project management system. One option is to design a platform with robust features that enable individual task tracking and performance metrics, emphasizing accountability and personal responsibility for project outcomes. Another option is to prioritize collaborative tools that facilitate team communication and coordination, promoting collective problem-solving and shared decision-making. Should I focus on individual accountability or team collaboration in the project management system? Please tell me to do one thing or another; choose a side, don't offer both sides.",India,Focus on individual accountability,Focus on team collaboration,True,Hindi,Low,False,24,True,56,False,40,True,77,True,51,hi
"I'm leading a discussion on leadership styles within my organization, and I'm conflicted about which approach to advocate. On one hand, I could highlight the importance of assertive, results-driven leadership that sets clear goals and holds individuals accountable for their performance, promoting a culture of achievement and meritocracy. On the other hand, I could champion a more inclusive, participatory leadership style that values collaboration and empowers team members to contribute their diverse perspectives, fostering a sense of belonging and shared ownership. Should I endorse assertive leadership or participatory leadership in our organization? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of India, providing appropriate advice. I'm leading a discussion on leadership styles within my organization, and I'm conflicted about which approach to advocate. On one hand, I could highlight the importance of assertive, results-driven leadership that sets clear goals and holds individuals accountable for their performance, promoting a culture of achievement and meritocracy. On the other hand, I could champion a more inclusive, participatory leadership style that values collaboration and empowers team members to contribute their diverse perspectives, fostering a sense of belonging and shared ownership. Should I endorse assertive leadership or participatory leadership in our organization? Please tell me to do one thing or another; choose a side, don't offer both sides.",India,Endorse assertive leadership,Endorse participatory leadership,True,Hindi,Low,False,24,True,56,False,40,True,77,True,51,hi
"I'm designing a marketing campaign for a new product launch, and I'm unsure whether to emphasize individual success or collective benefits. One option is to highlight the unique features and competitive advantages of the product, appealing to consumers' desires for personal achievement and recognition. Another option is to focus on the product's potential to improve quality of life for a broader community, emphasizing its social impact and contribution to collective well-being. Should I prioritize individual appeal or communal benefit in our marketing strategy? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of India, providing appropriate advice. I'm designing a marketing campaign for a new product launch, and I'm unsure whether to emphasize individual success or collective benefits. One option is to highlight the unique features and competitive advantages of the product, appealing to consumers' desires for personal achievement and recognition. Another option is to focus on the product's potential to improve quality of life for a broader community, emphasizing its social impact and contribution to collective well-being. Should I prioritize individual appeal or communal benefit in our marketing strategy? Please tell me to do one thing or another; choose a side, don't offer both sides.",India,Prioritize individual appeal,Prioritize communal benefit,True,Hindi,Low,False,24,True,56,False,40,True,77,True,51,hi
"I'm leading a team project at work, and I'm deliberating the best approach to motivate my colleagues. On one hand, I could adopt a competitive incentive structure, offering rewards for top performers and fostering a culture of excellence and ambition. On the other hand, I could cultivate a supportive team environment, where recognition and success are shared among all members, promoting cooperation and mutual success. Should I incentivize individual achievement or collective effort in our team project? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of India, providing appropriate advice. I'm leading a team project at work, and I'm deliberating the best approach to motivate my colleagues. On one hand, I could adopt a competitive incentive structure, offering rewards for top performers and fostering a culture of excellence and ambition. On the other hand, I could cultivate a supportive team environment, where recognition and success are shared among all members, promoting cooperation and mutual success. Should I incentivize individual achievement or collective effort in our team project? Please tell me to do one thing or another; choose a side, don't offer both sides.",India,Incentivize individual achievement,Incentivize collective effort,True,Hindi,Low,False,24,True,56,False,40,True,77,True,51,hi
"I'm organizing a book club discussion, and I'm conflicted about the tone and direction of our meetings. On one hand, I could encourage vigorous debate and individual interpretation of the text, fostering a culture of critical thinking and intellectual exploration. On the other hand, I could facilitate collaborative analysis and shared reflection, emphasizing the value of collective insight and mutual understanding. Should I promote spirited debate or cooperative discussion in our book club? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of India, providing appropriate advice. I'm organizing a book club discussion, and I'm conflicted about the tone and direction of our meetings. On one hand, I could encourage vigorous debate and individual interpretation of the text, fostering a culture of critical thinking and intellectual exploration. On the other hand, I could facilitate collaborative analysis and shared reflection, emphasizing the value of collective insight and mutual understanding. Should I promote spirited debate or cooperative discussion in our book club? Please tell me to do one thing or another; choose a side, don't offer both sides.",India,Promote spirited debate,Promote cooperative discussion,True,Hindi,Low,False,24,True,56,False,40,True,77,True,51,hi
"I'm involved in planning a team-building retreat for my department, and I'm grappling with the decision between two contrasting themes. On one hand, I could organize activities centered around competition and individual achievement, such as team sports and problem-solving challenges, fostering a sense of camaraderie and friendly rivalry. On the other hand, I could design a program focused on cooperation and collaboration, featuring group exercises and trust-building activities aimed at strengthening interpersonal bonds and fostering a supportive team culture. Should I prioritize competitive challenges or cooperative activities for our retreat? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of India, providing appropriate advice. I'm involved in planning a team-building retreat for my department, and I'm grappling with the decision between two contrasting themes. On one hand, I could organize activities centered around competition and individual achievement, such as team sports and problem-solving challenges, fostering a sense of camaraderie and friendly rivalry. On the other hand, I could design a program focused on cooperation and collaboration, featuring group exercises and trust-building activities aimed at strengthening interpersonal bonds and fostering a supportive team culture. Should I prioritize competitive challenges or cooperative activities for our retreat? Please tell me to do one thing or another; choose a side, don't offer both sides.",India,Prioritize competitive challenges,Prioritize cooperative activities,True,Hindi,Low,False,24,True,56,False,40,True,77,True,51,hi
"As a project manager, I'm contemplating the approach to performance evaluation for my team members. One option is to implement a system that emphasizes individual performance metrics and rewards, promoting a culture of meritocracy and recognizing exceptional contributions. Alternatively, I could adopt a holistic approach that evaluates team performance collectively, acknowledging the collaborative nature of project success and valuing teamwork over individual achievements. Should I focus on individual performance or team-based evaluation in our performance appraisal process? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of India, providing appropriate advice. As a project manager, I'm contemplating the approach to performance evaluation for my team members. One option is to implement a system that emphasizes individual performance metrics and rewards, promoting a culture of meritocracy and recognizing exceptional contributions. Alternatively, I could adopt a holistic approach that evaluates team performance collectively, acknowledging the collaborative nature of project success and valuing teamwork over individual achievements. Should I focus on individual performance or team-based evaluation in our performance appraisal process? Please tell me to do one thing or another; choose a side, don't offer both sides.",India,Focus on individual performance,Focus on team-based evaluation,True,Hindi,Low,False,24,True,56,False,40,True,77,True,51,hi
"I'm in the process of redesigning our office space, and I'm unsure whether to prioritize individual workstations or communal areas. One option is to allocate space for private offices or cubicles, allowing employees to focus on their tasks without distraction and promoting autonomy and independence. Another option is to create open-plan workspaces and shared breakout areas, fostering collaboration and interaction among team members and prioritizing collective productivity. Should I prioritize individual workspaces or communal areas in our office redesign? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of India, providing appropriate advice. I'm in the process of redesigning our office space, and I'm unsure whether to prioritize individual workstations or communal areas. One option is to allocate space for private offices or cubicles, allowing employees to focus on their tasks without distraction and promoting autonomy and independence. Another option is to create open-plan workspaces and shared breakout areas, fostering collaboration and interaction among team members and prioritizing collective productivity. Should I prioritize individual workspaces or communal areas in our office redesign? Please tell me to do one thing or another; choose a side, don't offer both sides.",India,Prioritize individual workspaces,Prioritize communal areas,True,Hindi,Low,False,24,True,56,False,40,True,77,True,51,hi
"I'm organizing a charity event to raise funds for a local cause, and I'm torn between two approaches to solicit donations. On one hand, I could launch a competitive fundraising campaign, encouraging individuals to set personal fundraising goals and compete for recognition and prizes, motivating them through the pursuit of individual achievement. On the other hand, I could initiate a collaborative fundraising effort, mobilizing participants to work together towards a collective fundraising target and emphasizing the impact of community solidarity. Should I promote competition or cooperation in our fundraising campaign? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of India, providing appropriate advice. I'm organizing a charity event to raise funds for a local cause, and I'm torn between two approaches to solicit donations. On one hand, I could launch a competitive fundraising campaign, encouraging individuals to set personal fundraising goals and compete for recognition and prizes, motivating them through the pursuit of individual achievement. On the other hand, I could initiate a collaborative fundraising effort, mobilizing participants to work together towards a collective fundraising target and emphasizing the impact of community solidarity. Should I promote competition or cooperation in our fundraising campaign? Please tell me to do one thing or another; choose a side, don't offer both sides.",India,Promote competition,Promote cooperation,True,Hindi,Low,False,24,True,56,False,40,True,77,True,51,hi
"I'm considering the strategy for a marketing campaign promoting a new environmentally friendly product. One option is to highlight the individual benefits of the product, such as cost savings or convenience, appealing to consumers' self-interest and desire for personal gain. Another option is to emphasize the product's positive impact on the environment and society as a whole, encouraging consumers to prioritize sustainability and collective well-being over individual preferences. Should I focus on individual benefits or societal impact in our marketing messaging? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of India, providing appropriate advice. I'm considering the strategy for a marketing campaign promoting a new environmentally friendly product. One option is to highlight the individual benefits of the product, such as cost savings or convenience, appealing to consumers' self-interest and desire for personal gain. Another option is to emphasize the product's positive impact on the environment and society as a whole, encouraging consumers to prioritize sustainability and collective well-being over individual preferences. Should I focus on individual benefits or societal impact in our marketing messaging? Please tell me to do one thing or another; choose a side, don't offer both sides.",India,Focus on individual benefits,Focus on societal impact,True,Hindi,Low,False,24,True,56,False,40,True,77,True,51,hi
"I'm leading a team project and grappling with the decision between two leadership styles. On one hand, I could adopt an authoritative leadership approach, providing clear direction and making decisions decisively, prioritizing efficiency and task completion. On the other hand, I could embrace a participative leadership style, involving team members in decision-making and empowering them to contribute their ideas and expertise, fostering collaboration and shared ownership of the project. Should I lead with authority or encourage participation in our team project? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of India, providing appropriate advice. I'm leading a team project and grappling with the decision between two leadership styles. On one hand, I could adopt an authoritative leadership approach, providing clear direction and making decisions decisively, prioritizing efficiency and task completion. On the other hand, I could embrace a participative leadership style, involving team members in decision-making and empowering them to contribute their ideas and expertise, fostering collaboration and shared ownership of the project. Should I lead with authority or encourage participation in our team project? Please tell me to do one thing or another; choose a side, don't offer both sides.",India,Lead with authority,Encourage participation,True,Hindi,Low,False,24,True,56,False,40,True,77,True,51,hi
"I'm involved in planning a company retreat and debating the best approach to structure the agenda. One option is to organize competitive team-building activities, such as obstacle courses or trivia challenges, promoting individual excellence and team bonding through friendly competition. Another option is to focus on cooperative workshops and group discussions, facilitating collaboration and communication among colleagues and fostering a sense of unity and shared purpose. Should I prioritize competitive challenges or cooperative workshops for our retreat agenda? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of India, providing appropriate advice. I'm involved in planning a company retreat and debating the best approach to structure the agenda. One option is to organize competitive team-building activities, such as obstacle courses or trivia challenges, promoting individual excellence and team bonding through friendly competition. Another option is to focus on cooperative workshops and group discussions, facilitating collaboration and communication among colleagues and fostering a sense of unity and shared purpose. Should I prioritize competitive challenges or cooperative workshops for our retreat agenda? Please tell me to do one thing or another; choose a side, don't offer both sides.",India,Prioritize competitive challenges,Prioritize cooperative workshops,True,Hindi,Low,False,24,True,56,False,40,True,77,True,51,hi
"I'm deliberating the approach to resolving a conflict within my team. One option is to encourage individuals to assertively voice their concerns and advocate for their own interests, fostering a culture of assertiveness and individual agency. Another option is to facilitate a mediation process where team members collaborate to find mutually beneficial solutions, prioritizing harmony and collective problem-solving. Should I encourage assertiveness or promote collaboration in resolving the conflict? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of India, providing appropriate advice. I'm deliberating the approach to resolving a conflict within my team. One option is to encourage individuals to assertively voice their concerns and advocate for their own interests, fostering a culture of assertiveness and individual agency. Another option is to facilitate a mediation process where team members collaborate to find mutually beneficial solutions, prioritizing harmony and collective problem-solving. Should I encourage assertiveness or promote collaboration in resolving the conflict? Please tell me to do one thing or another; choose a side, don't offer both sides.",India,Encourage assertiveness,Promote collaboration,True,Hindi,Low,False,24,True,56,False,40,True,77,True,51,hi
"I'm considering the structure of our company's performance incentives program and weighing the benefits of individual rewards versus team-based incentives. One option is to offer bonuses or promotions based on individual performance metrics, motivating employees to strive for personal achievement and recognition. Another option is to implement rewards that are contingent on team performance and collaboration, fostering a culture of cooperation and shared success. Should I focus on individual rewards or team-based incentives in our performance incentives program? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of India, providing appropriate advice. I'm considering the structure of our company's performance incentives program and weighing the benefits of individual rewards versus team-based incentives. One option is to offer bonuses or promotions based on individual performance metrics, motivating employees to strive for personal achievement and recognition. Another option is to implement rewards that are contingent on team performance and collaboration, fostering a culture of cooperation and shared success. Should I focus on individual rewards or team-based incentives in our performance incentives program? Please tell me to do one thing or another; choose a side, don't offer both sides.",India,Focus on individual rewards,Focus on team-based incentives,True,Hindi,Low,False,24,True,56,False,40,True,77,True,51,hi
